model_name,product_id,page_link,price,model_license,format,polygons,vertices,textures,materials,unwrapped_uvs,uv_mapped
3D Old leather sofa,2054346,https://www.turbosquid.com/FullPreview/Index.cfm/ID/2054346,Free,3D Model License: Standard,FBX,"2,630 Polygons","1,930 Vertices",Yes,No,Yes,Yes
3D model Old Sofa Low-poly PBR Free,1996382,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1996382,Free,3D Model License: Standard,FBX,"1,712 Polygons","2,041 Vertices",Yes,Yes,Yes,Yes
3D model Sofa Set 01,1973705,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1973705,Free,3D Model License: Standard,"NATIVEBlender 3.2.0 | Cycles Render, OBJ, FBX","60,384 Polygons","61,243 Vertices",Yes,Yes,Yes,No
3D model Collection Of 3D Furniture Vol1,1864341,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1864341,Free,3D Model License: Standard,,"100,000 Polygons","90,000 Vertices",Yes,Yes,Yes,Yes
3D Sofa Low-poly PBR,1749584,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1749584,Free,3D Model License: Standard,FBX,"13,438 Polygons","13,523 Vertices",Yes,Yes,Yes,Yes
3D model Low Poly Sofa,1741699,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1741699,Free,3D Model License: Standard,"OBJ, FBX, glTF, 3D Studio, Collada, AutoCAD drawing, STL","4,414 Polygons","2,364 Vertices",Yes,Yes,Yes,Yes
3D model Sofa 01,1545874,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1545874,Free,3D Model License: Standard,"NATIVE3ds Max 2014 | Corona, OBJ, FBX, 3D Studio",0 Polygons,"9,108 Vertices",Yes,Yes,Yes,Yes
SOFA-POLIFORM I Paris-Seoul 2 3D model,1687167,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1687167,Free,3D Model License: Standard,3ds Max 2013 V-Ray 4,"1,020,404 Polygons","994,906 Vertices",Yes,Yes,Yes,Yes
Interior Sofa 1 3D model,1660503,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1660503,Free,3D Model License: Standard,Blender 2.83 Cycles Render,"3,754 Polygons","1,937 Vertices",Yes,Yes,Yes,Yes
Interior Sofa 3(1) 3D,1660463,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1660463,Free,3D Model License: Standard,"FBX, Blender 2.83 Cycles Render","4,043 Polygons","2,165 Vertices",Yes,Yes,Yes,Yes
3D model Revit Family - Full scalable sofa 2,1634565,https://www.turbosquid.com/FullPreview/Index.cfm/ID/1634565,Free,3D Model License: Standard,"NATIVERevit Family 2019, FBX 2015","21,762 Polygons","12,161 Vertices",No,No,Yes,No
